"idx","location","qn","case_num","case_array","feedback","qn_move"
"68908","sw01_u04_p02","22","0","incorrect/try again"," ","-7777"
"68909","sw01_u04_p02","22","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","27"
"68910","sw01_u04_p02","22","2","basement","/%fb_correctfeedback_1/","23"
"68911","sw01_u04_p02","23","0","incorrect/try again"," ","-7777"
"68912","sw01_u04_p02","23","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","27"
"68913","sw01_u04_p02","23","2","bathroom","/%fb_correctfeedback_1/","28"
"68914","sw01_u04_p02","24","0","incorrect/try again"," ","-7777"
"68915","sw01_u04_p02","24","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","25"
"68916","sw01_u04_p02","24","2","yard/yard yard yard","/%fb_correctfeedback_1/","21"
"68917","sw01_u04_p02","25","0","incorrect/try again"," ","-7777"
"68918","sw01_u04_p02","25","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","26"
"68919","sw01_u04_p02","25","2","bedroom/bedroom bedroom","/%fb_correctfeedback_1/","22"
"68920","sw01_u04_p02","26","0","incorrect/try again","/%sound_common-073-please-answer-yes-or-no/","-7777"
"68921","sw01_u04_p02","26","1","incorrect/no more chance"," ","27"
"68922","sw01_u04_p02","26","2","sure/yes/yes I do/yes I am/yes I would/yes please/yeap/yup/ok/great/that sounds great/yep","/%sound_common-071-then-lets-begin/","27"
"68923","sw01_u04_p02","26","3","no/no I don't/no I am not/no I wouldn't/nope/nah/I don't want to/no thanks","/%sound_common-074-then-lets-listen-to-the-ex-again/","-7777"
"68924","sw01_u04_p02","27","0","incorrect/try again"," ","-7777"
"68925","sw01_u04_p02","27","1","incorrect/no more chance","/%fb_incorrect_aec_fb1/","28"
"68926","sw01_u04_p02","27","2","kitchen/kitchen kitchen","/%fb_correct_aec_fb1/","28"
"68927","sw01_u04_p02","28","0","incorrect/try again","Please answer, Yes or No.","-7777"
"68928","sw01_u04_p02","28","1","incorrect/no more chance"," ","29"
"68929","sw01_u04_p02","28","2","sure/yes/yes I do/yes I am/yes I would/yes please/yeap/yup/ok/great/that sounds great/yep"," ","29"
"68930","sw01_u04_p02","28","3","no/no I don't/no I am not/no I wouldn't/nope/nah/I don't want to/no thanks","Then let's begin!","30"
"68931","sw01_u04_p02","29","0","incorrect/try again","Please answer, Yes or No.","-7777"
"68932","sw01_u04_p02","29","1","incorrect/no more chance"," ","30"
"68933","sw01_u04_p02","29","2","sure/yes/yes I do/yes I am/yes I would/yes please/yeap/yup/ok/great/that sounds great/yep","Then let's begin!","30"
"68934","sw01_u04_p02","29","3","no/no I don't/no I am not/no I wouldn't/nope/nah/I don't want to/no thanks","Then let's listen to the example again.","29"
"68935","sw01_u04_p02","30","0","incorrect/try again","/%fb_retryfeedback_1/","-7777"
"68936","sw01_u04_p02","30","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","32"
"68937","sw01_u04_p02","30","2","there's a nice bathroom there's a nice yard/there is a nice bathroom there is a nice yard/there's a nice bathroom there is a nice yard/there is a nice bathroom there's a nice yard","/%fb_correctfeedback_1/","32"
"68938","sw01_u04_p02","31","0","incorrect/try again","/%fb_retryfeedback_1/","-7777"
"68939","sw01_u04_p02","31","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","32"
"68940","sw01_u04_p02","31","2","there's a nice kitchen there's a nice bedroom/there is a nice kitchen there is a nice bedroom/there's a nice kitchen there is a nice bedroom/there is a nice kitchen there's a nice bedroom","/%fb_correctfeedback_1/","32"
"68941","sw01_u04_p02","32","0","incorrect/try again","/%fb_retryfeedback_1/","-7777"
"68942","sw01_u04_p02","32","1","incorrect/no more chance","/%fb_incorrect_aec_fb1/","34"
"68943","sw01_u04_p02","32","2","there's a nice living room there's a nice basement/there is a nice living room there is a nice basement/there's a nice living room there is a nice basement/there is a nice living room there's a nice basement","/%fb_correct_aec_fb1/","34"
"68944","sw01_u04_p02","34","0","incorrect/try again","/%sound_common-073-please-answer-yes-or-no/","-7777"
"68945","sw01_u04_p02","34","1","incorrect/no more chance"," ","35"
"68946","sw01_u04_p02","34","2","sure/yes/yes I do/yes I am/yes I would/yes please/yeap/yup/ok/great/that sounds great/yep"," ","35"
"68947","sw01_u04_p02","34","3","no/no I don't/no I am not/no I wouldn't/nope/nah/I don't want to/no thanks"," ","36"
"68948","sw01_u04_p02","35","0","incorrect/try again","/%sound_common-073-please-answer-yes-or-no/","-7777"
"68949","sw01_u04_p02","35","1","incorrect/no more chance"," ","37"
"68950","sw01_u04_p02","35","2","sure/yes/yes I do/yes I am/yes I would/yes please/yeap/yup/ok/great/that sounds great/yep"," ","37"
"68951","sw01_u04_p02","35","3","no/no I don't/no I am not/no I wouldn't/nope/nah/I don't want to/no thanks","/%sound_common-071-then-lets-begin/","38"
"68952","sw01_u04_p02","36","0","incorrect/try again","/%sound_common-073-please-answer-yes-or-no/","-7777"
"68953","sw01_u04_p02","36","1","incorrect/no more chance"," ","37"
"68954","sw01_u04_p02","36","2","sure/yes/yes I do/yes I am/yes I would/yes please/yeap/yup/ok/great/that sounds great/yep"," ","37"
"68955","sw01_u04_p02","36","3","no/no I don't/no I am not/no I wouldn't/nope/nah/I don't want to/no thanks","/%sound_common-071-then-lets-begin/","38"
"68956","sw01_u04_p02","37","0","incorrect/try again","/%sound_common-073-please-answer-yes-or-no/","-7777"
"68957","sw01_u04_p02","37","1","incorrect/no more chance"," ","38"
"68958","sw01_u04_p02","37","2","sure/yes/yes I do/yes I am/yes I would/yes please/yeap/yup/ok/great/that sounds great/yep","/%sound_common-071-then-lets-begin/","38"
"68959","sw01_u04_p02","37","3","no/no I don't/no I am not/no I wouldn't/nope/nah/I don't want to/no thanks","/%sound_common-074-then-lets-listen-to-the-ex-again/","37"
"68960","sw01_u04_p02","38","0","incorrect/try again"," ","-7777"
"68961","sw01_u04_p02","38","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","43"
"68962","sw01_u04_p02","38","2","there is a nice living room/there's a nice living room","/%fb_correctfeedback_1/","43"
"68963","sw01_u04_p02","39","0","incorrect/try again"," ","-7777"
"68964","sw01_u04_p02","39","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","43"
"68965","sw01_u04_p02","39","2","there is a nice bathroom/there's a nice bathroom","/%fb_correctfeedback_1/","43"
"68966","sw01_u04_p02","40","0","incorrect/try again"," ","-7777"
"68967","sw01_u04_p02","40","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","43"
"68968","sw01_u04_p02","40","2","there is a nice bedroom/there's a nice bedroom","/%fb_correctfeedback_1/","43"
"68969","sw01_u04_p02","41","0","incorrect/try again"," ","-7777"
"68970","sw01_u04_p02","41","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","43"
"68971","sw01_u04_p02","41","2","there is a nice basement/there's a nice basement","/%fb_correctfeedback_1/","43"
